[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 7.98
[File, System, Image] FileSize - File Size: 20 kB
[File, File, Image] FileType - File Type: JPEG
[File, File, Image] MIMEType - MIME Type: image/jpeg
[File, File, Image] ExifByteOrder - Exif Byte Order: Little-endian (Intel, II)
[File, File, Image] CurrentIPTCDigest - Current IPTC Digest: 227535631ad342b5777e5aebd55a20b2
[File, File, Image] ImageWidth - Image Width: 100
[File, File, Image] ImageHeight - Image Height: 80
[File, File, Image] EncodingProcess - Encoding Process: Baseline DCT, Huffman coding
[File, File, Image] BitsPerSample - Bits Per Sample: 8
[File, File, Image] ColorComponents - Color Components: 3
[File, File, Image] YCbCrSubSampling - Y Cb Cr Sub Sampling: YCbCr4:4:4 (1 1)
[JFIF, JFIF, Image] 0 - JFIF Version: 1.02
[JFIF, JFIF, Image] 2 - Resolution Unit: inches
[JFIF, JFIF, Image] 3 - X Resolution: 80
[JFIF, JFIF, Image] 5 - Y Resolution: 80
[EXIF, IFD0, Image] 270 - Image Description: A witty caption-v2
[EXIF, IFD0, Camera] 271 - Make: FUJIFILM-v2
[EXIF, IFD0, Camera] 272 - Camera Model Name: FinePix2400Zoom-v2
[EXIF, IFD0, Image] 274 - Orientation: Horizontal (normal)
[EXIF, IFD0, Image] 282 - X Resolution: 80
[EXIF, IFD0, Image] 283 - Y Resolution: 80
[EXIF, IFD0, Image] 296 - Resolution Unit: inches
[EXIF, IFD0, Image] 305 - Software: Adobe Photoshop 7.0-v2
[EXIF, IFD0, Time] 306 - Modify Date: 2004:02:26 09:36:46
[EXIF, IFD0, Author] 315 - Artist: Phil Harvey-v2
[EXIF, IFD0, Image] 531 - Y Cb Cr Positioning: Co-sited
[EXIF, IFD0, Author] 33432 - Copyright: Copyright 2004 Phil Harvey-v2
[EXIF, ExifIFD, Image] 33437 - F Number: 4.9
[EXIF, ExifIFD, Camera] 34850 - Exposure Program: Program AE
[EXIF, ExifIFD, Image] 34855 - ISO: 111
[EXIF, ExifIFD, Image] 36864 - Exif Version: 232
[EXIF, ExifIFD, Time] 36867 - Date/Time Original: 2001:05:19 18:36:41
[EXIF, ExifIFD, Time] 36868 - Create Date: 2001:05:19 18:36:41
[EXIF, ExifIFD, Image] 37121 - Components Configuration: Y, Cb, Cr, -
[EXIF, ExifIFD, Image] 37122 - Compressed Bits Per Pixel: 1.6
[EXIF, ExifIFD, Image] 37377 - Shutter Speed Value: 1/64
[EXIF, ExifIFD, Image] 37378 - Aperture Value: 4.9
[EXIF, ExifIFD, Image] 37379 - Brightness Value: 3
[EXIF, ExifIFD, Image] 37380 - Exposure Compensation: +1
[EXIF, ExifIFD, Camera] 37381 - Max Aperture Value: 4.9
[EXIF, ExifIFD, Camera] 37383 - Metering Mode: Multi-segment
[EXIF, ExifIFD, Camera] 37385 - Flash: Fired
[EXIF, ExifIFD, Camera] 37386 - Focal Length: 6.0 mm
[EXIF, ExifIFD, Image] 40960 - Flashpix Version: 111
[EXIF, ExifIFD, Image] 40961 - Color Space: sRGB
[EXIF, ExifIFD, Image] 40962 - Exif Image Width: 111
[EXIF, ExifIFD, Image] 40963 - Exif Image Height: 89
[EXIF, ExifIFD, Camera] 41486 - Focal Plane X Resolution: 3359
[EXIF, ExifIFD, Camera] 41487 - Focal Plane Y Resolution: 3359
[EXIF, ExifIFD, Camera] 41488 - Focal Plane Resolution Unit: cm
[EXIF, ExifIFD, Camera] 41495 - Sensing Method: One-chip color area
[EXIF, ExifIFD, Image] 41728 - File Source: Digital Camera
[EXIF, ExifIFD, Image] 41729 - Scene Type: Directly photographed
[EXIF, IFD1, Image] 259 - Compression: JPEG (old-style)
[EXIF, IFD1, Image] 282 - X Resolution: 72
[EXIF, IFD1, Image] 283 - Y Resolution: 72
[EXIF, IFD1, Image] 296 - Resolution Unit: inches
[EXIF, IFD1, Image] 513 - Thumbnail Offset: 890
[EXIF, IFD1, Image] 514 - Thumbnail Length: 0
[IPTC, IPTC, Other] 90 - Coded Character Set: UTF8
[IPTC, IPTC, Other] 0 - Envelope Record Version: 4
[IPTC, IPTC, Other] 10 - Urgency: 8 (least urgent)
[IPTC, IPTC, Other] 0 - Application Record Version: 3
[IPTC, IPTC, Other] 5 - Object Name: Test IPTC picture-v2
[IPTC, IPTC, Other] 15 - Category: 2
[IPTC, IPTC, Other] 20 - Supplemental Categories: amazing, image, utilities, v2
[IPTC, IPTC, Other] 25 - Keywords: ExifTool, Test, XMP, v2
[IPTC, IPTC, Other] 40 - Special Instructions: What instructions-v2
[IPTC, IPTC, Time] 55 - Date Created: 2004:02:26
[IPTC, IPTC, Author] 80 - By-line: Phil Harvey-v2
[IPTC, IPTC, Author] 85 - By-line Title: My Position-v2
[IPTC, IPTC, Location] 90 - City: Kingston-v2
[IPTC, IPTC, Location] 95 - Province-State: Ont-v2
[IPTC, IPTC, Location] 101 - Country-Primary Location Name: Canada-v2
[IPTC, IPTC, Other] 103 - Original Transmission Reference: What is a transmission reference
[IPTC, IPTC, Other] 105 - Headline: No headline-v2
[IPTC, IPTC, Author] 110 - Credit: My Credit-v2
[IPTC, IPTC, Author] 115 - Source: I'm the source-v2
[IPTC, IPTC, Author] 116 - Copyright Notice: Copyright 2004 Phil Harvey-v2
[IPTC, IPTC, Other] 120 - Caption-Abstract: A witty caption-v2
[IPTC, IPTC, Author] 122 - Writer-Editor: I wrote it-v2
[Photoshop, Photoshop, Image] 1061 - IPTC Digest: 05ad1770b1a95f1f9788ac995fa647da
[Photoshop, Photoshop, Image] 0 - X Resolution: 80
[Photoshop, Photoshop, Image] 2 - Displayed Units X: inches
[Photoshop, Photoshop, Image] 4 - Y Resolution: 80
[Photoshop, Photoshop, Image] 6 - Displayed Units Y: inches
[Photoshop, Photoshop, Image] 1037 - Global Angle: 34
[Photoshop, Photoshop, Image] 1049 - Global Altitude: 34
[Photoshop, Photoshop, Author] 1034 - Copyright Flag: False
[Photoshop, Photoshop, Author] 1035 - URL: http://owl.phy.queensu.ca/~phil/exiftool/-v2
[Photoshop, Photoshop, Image] 0 - Photoshop Quality: 8
[Photoshop, Photoshop, Image] 1 - Photoshop Format: Standard
[Photoshop, Photoshop, Image] 2 - Progressive Scans: 3 Scans
[XMP, XMP-x, Document] xmptk - XMP Toolkit: Image::ExifTool 7.98
[XMP, XMP-rdf, Document] about - About: uuid:80056b68-1045-fa97-3401-6f4ed84cd53d
[XMP, XMP-iptcCore, Author] CreatorContactInfoCiAdrCtry - Creator Country: Canada
[XMP, XMP-dc, Author] creator - Creator: Phil Harvey-v2
[XMP, XMP-dc, Image] description - Description: UTF-16 (big-endian) encoded XMP-v2
[XMP, XMP-dc, Author] rights - Rights: Copyright 2004 Phil Harvey-v2
[XMP, XMP-dc, Image] subject - Subject: ExifTool, Test, XMP, v2
[XMP, XMP-dc, Image] title - Title: Test IPTC picture-v2
[XMP, XMP-photoshop, Author] AuthorsPosition - Authors Position: My Position-v2
[XMP, XMP-photoshop, Author] CaptionWriter - Caption Writer: I wrote it-v2
[XMP, XMP-photoshop, Image] Category - Category: 2
[XMP, XMP-photoshop, Location] City - City: Kingston-v2
[XMP, XMP-photoshop, Location] Country - Country: Canada-v2
[XMP, XMP-photoshop, Author] Credit - Credit: My Credit-v2
[XMP, XMP-photoshop, Time] DateCreated - Date Created: 2004:02:26
[XMP, XMP-photoshop, Image] Headline - Headline: No headline-v2
[XMP, XMP-photoshop, Image] Instructions - Instructions: What instructions-v2
[XMP, XMP-photoshop, Author] Source - Source: I'm the source-v2
[XMP, XMP-photoshop, Location] State - State: Ont-v2
[XMP, XMP-photoshop, Image] SupplementalCategories - Supplemental Categories: amazing, image, utilities, v2
[XMP, XMP-photoshop, Image] TransmissionReference - Transmission Reference: What is a transmission reference?-v2
[XMP, XMP-photoshop, Image] Urgency - Urgency: 8 (least urgent)
[XMP, XMP-xmpBJ, Other] JobRefName - Job Ref Name: My Job-v2
[XMP, XMP-xmpMM, Other] DocumentID - Document ID: adobe:docid:photoshop:4cc7b857-69d0-11d8-8ac4-bb59c92f0d9a-v2
[XMP, XMP-xmpRights, Author] Marked - Marked: False
[XMP, XMP-xmpRights, Author] WebStatement - Web Statement: http://owl.phy.queensu.ca/~phil/exiftool/-v2
[ICC_Profile, ICC-header, Image] 4 - Profile CMM Type: Lino
[ICC_Profile, ICC-header, Image] 8 - Profile Version: 2.1.0
[ICC_Profile, ICC-header, Image] 12 - Profile Class: Display Device Profile
[ICC_Profile, ICC-header, Image] 16 - Color Space Data: RGB 
[ICC_Profile, ICC-header, Image] 20 - Profile Connection Space: XYZ 
[ICC_Profile, ICC-header, Time] 24 - Profile Date Time: 1998:02:09 06:49:00
[ICC_Profile, ICC-header, Image] 36 - Profile File Signature: acsp
[ICC_Profile, ICC-header, Image] 40 - Primary Platform: Microsoft Corporation
[ICC_Profile, ICC-header, Image] 44 - CMM Flags: Not Embedded, Independent
[ICC_Profile, ICC-header, Image] 48 - Device Manufacturer: IEC 
[ICC_Profile, ICC-header, Image] 52 - Device Model: sRGB
[ICC_Profile, ICC-header, Image] 56 - Device Attributes: Reflective, Glossy, Positive, Color
[ICC_Profile, ICC-header, Image] 64 - Rendering Intent: Perceptual
[ICC_Profile, ICC-header, Image] 68 - Connection Space Illuminant: 0.9642 1 0.82491
[ICC_Profile, ICC-header, Image] 80 - Profile Creator: HP  
[ICC_Profile, ICC-header, Image] 84 - Profile ID: 0
[ICC_Profile, ICC_Profile, Image] cprt - Profile Copyright: Copyright (c) 1998 Hewlett-Packard Company
[ICC_Profile, ICC_Profile, Image] desc - Profile Description: sRGB IEC61966-2.1
[ICC_Profile, ICC_Profile, Image] wtpt - Media White Point: 0.95045 1 1.08905
[ICC_Profile, ICC_Profile, Image] bkpt - Media Black Point: 0 0 0
[ICC_Profile, ICC_Profile, Image] rXYZ - Red Matrix Column: 0.43607 0.22249 0.01392
[ICC_Profile, ICC_Profile, Image] gXYZ - Green Matrix Column: 0.38515 0.71687 0.09708
[ICC_Profile, ICC_Profile, Image] bXYZ - Blue Matrix Column: 0.14307 0.06061 0.7141
[ICC_Profile, ICC_Profile, Camera] dmnd - Device Mfg Desc: IEC http://www.iec.ch
[ICC_Profile, ICC_Profile, Camera] dmdd - Device Model Desc: IEC 61966-2.1 Default RGB colour space - sRGB
[ICC_Profile, ICC_Profile, Image] vued - Viewing Cond Desc: Reference Viewing Condition in IEC61966-2.1
[ICC_Profile, ICC-view, Image] 8 - Viewing Cond Illuminant: 19.6445 20.3718 16.8089
[ICC_Profile, ICC-view, Image] 20 - Viewing Cond Surround: 3.92889 4.07439 3.36179
[ICC_Profile, ICC-view, Image] 32 - Viewing Cond Illuminant Type: D50
[ICC_Profile, ICC_Profile, Image] lumi - Luminance: 76.03647 80 87.12462
[ICC_Profile, ICC-meas, Image] 8 - Measurement Observer: CIE 1931
[ICC_Profile, ICC-meas, Image] 12 - Measurement Backing: 0 0 0
[ICC_Profile, ICC-meas, Image] 24 - Measurement Geometry: Unknown (0)
[ICC_Profile, ICC-meas, Image] 28 - Measurement Flare: 0.999%
[ICC_Profile, ICC-meas, Image] 32 - Measurement Illuminant: D65
[ICC_Profile, ICC_Profile, Image] tech - Technology: Cathode Ray Tube Display
[ICC_Profile, ICC_Profile, Image] rTRC - Red Tone Reproduction Curve: (Binary data 2060 bytes)
[ICC_Profile, ICC_Profile, Image] gTRC - Green Tone Reproduction Curve: (Binary data 2060 bytes)
[ICC_Profile, ICC_Profile, Image] bTRC - Blue Tone Reproduction Curve: (Binary data 2060 bytes)
[APP14, Adobe, Image] 0 - DCT Encode Version: 100
[APP14, Adobe, Image] 1 - APP14 Flags 0: (none)
[APP14, Adobe, Image] 2 - APP14 Flags 1: (none)
[APP14, Adobe, Image] 3 - Color Transform: YCbCr
[Composite, Composite, Image] Aperture - Aperture: 4.9
[Composite, Composite, Image] ShutterSpeed - Shutter Speed: 1/64
[Composite, Composite, Image] ImageSize - Image Size: 100x80
[Composite, Composite, Image] LightValue - Light Value: 10.4
[Composite, Composite, Camera] FocalLength35efl - Focal Length: 6.0 mm
